DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-12-19 23:00:00,332900.0,332900.0,332900.0,332900.0,1.0
2023-12-26 23:00:00,335150.0,335150.0,335150.0,335150.0,1.0
2023-12-27 23:00:00,334600.0,334600.0,331725.0,332300.0,3.0
2023-12-28 23:00:00,333050.0,333050.0,333050.0,333050.0,1.0
2024-01-05 23:00:00,335500.0,335500.0,335500.0,335500.0,1.0
2024-01-12 23:00:00,343175.0,343175.0,343175.0,343175.0,1.0
2024-01-17 23:00:00,343000.0,343000.0,343000.0,343000.0,1.0
2024-01-24 23:00:00,340175.0,340175.0,339025.0,339025.0,2.0
2024-01-25 23:00:00,342225.0,342250.0,342225.0,342250.0,2.0
2024-01-31 23:00:00,343100.0,343100.0,343100.0,343100.0,1.0
2024-02-09 23:00:00,345475.0,345475.0,345475.0,345475.0,1.0
2024-02-12 23:00:00,346250.0,346250.0,346250.0,346250.0,1.0
2024-02-15 23:00:00,346450.0,346450.0,346450.0,346450.0,1.0
2024-02-21 23:00:00,340050.0,340050.0,337050.0,337050.0,3.0
2024-02-22 23:00:00,335100.0,336250.0,335075.0,336250.0,3.0
2024-02-26 23:00:00,339500.0,339900.0,339500.0,339900.0,2.0
2024-02-29 23:00:00,342175.0,342175.0,342175.0,342175.0,1.0
2024-03-01 23:00:00,344975.0,344975.0,344125.0,344125.0,2.0
2024-03-04 23:00:00,346650.0,346650.0,346650.0,346650.0,1.0
2024-03-05 23:00:00,349650.0,349650.0,349650.0,349650.0,1.0
2024-03-06 23:00:00,349850.0,349850.0,349600.0,349650.0,3.0
2024-03-11 23:00:00,348100.0,348100.0,347025.0,347500.0,5.0
2024-03-12 23:00:00,345125.0,346825.0,345125.0,346825.0,2.0
2024-03-13 23:00:00,347950.0,347950.0,346500.0,346500.0,3.0
2024-03-14 23:00:00,344350.0,344350.0,342350.0,342350.0,2.0
2024-03-15 23:00:00,342125.0,342125.0,342125.0,342125.0,1.0
2024-03-18 23:00:00,343250.0,343250.0,343250.0,343250.0,1.0
2024-03-19 23:00:00,343500.0,345100.0,343500.0,345100.0,9.0
2024-03-20 23:00:00,342525.0,344075.0,340100.0,343100.0,10.0
2024-03-21 23:00:00,344775.0,347450.0,344225.0,344225.0,10.0
2024-03-22 23:00:00,346175.0,346850.0,343000.0,343050.0,9.0
2024-03-25 23:00:00,342850.0,344850.0,339000.0,344850.0,53.0
2024-03-26 23:00:00,344425.0,346500.0,344425.0,345400.0,5.0
2024-03-27 23:00:00,346875.0,346975.0,345700.0,346975.0,6.0
2024-03-28 23:00:00,347200.0,348475.0,347200.0,348475.0,3.0
2024-03-29 23:00:00,348000.0,348650.0,347150.0,348650.0,3.0
2024-04-01 23:00:00,350850.0,353475.0,350850.0,350900.0,7.0
2024-04-02 23:00:00,352450.0,352750.0,352175.0,352175.0,6.0
2024-04-03 23:00:00,354000.0,354300.0,353200.0,353600.0,7.0
2024-04-04 23:00:00,354500.0,354500.0,353250.0,354000.0,5.0
2024-04-05 23:00:00,353725.0,353725.0,353000.0,353000.0,2.0
