DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-06-15 23:00:00,25.98,25.98,25.42,25.62,94.0
2023-06-16 23:00:00,25.71,25.8,25.67,25.67,40.0
2023-06-19 23:00:00,25.65,25.74,25.56,25.56,27.0
2023-06-20 23:00:00,25.55,25.57,24.91,25.01,63.0
2023-06-21 23:00:00,25.06,25.08,24.5,24.74,79.0
2023-06-22 23:00:00,24.69,24.71,24.02,24.28,209.0
2023-06-23 23:00:00,24.28,24.44,24.2,24.3,86.0
2023-06-26 23:00:00,24.27,24.62,24.27,24.55,38.0
2023-06-27 23:00:00,24.63,24.8,24.23,24.6,35.0
2023-06-28 23:00:00,24.63,24.63,24.27,24.38,28.0
2023-06-29 23:00:00,24.35,24.52,24.18,24.35,74.0
2023-06-30 23:00:00,24.41,24.49,24.2,24.49,44.0
2023-07-03 23:00:00,24.48,24.77,24.48,24.77,53.0
2023-07-04 23:00:00,24.65,24.84,24.65,24.76,24.0
2023-07-05 23:00:00,24.77,24.87,24.48,24.81,54.0
2023-07-06 23:00:00,24.83,24.97,24.4,24.51,34.0
2023-07-07 23:00:00,24.58,24.87,24.52,24.8,31.0
2023-07-10 23:00:00,24.77,24.86,24.63,24.8,43.0
2023-07-11 23:00:00,24.82,25.53,24.2,24.87,315.0
2023-07-12 23:00:00,24.88,25.53,24.85,25.39,96.0
2023-07-13 23:00:00,25.46,25.7,25.15,25.64,85.0
2023-07-14 23:00:00,25.7,25.76,25.45,25.64,190.0
2023-07-17 23:00:00,25.66,25.69,25.28,25.56,86.0
2023-07-18 23:00:00,25.56,25.85,25.56,25.85,36.0
2023-07-19 23:00:00,25.85,26.0,25.84,26.0,36.0
2023-07-20 23:00:00,25.98,26.24,25.88,26.08,86.0
2023-07-21 23:00:00,25.98,25.98,25.81,25.91,37.0
2023-07-24 23:00:00,25.81,25.84,25.67,25.71,26.0
2023-07-25 23:00:00,25.76,25.97,25.74,25.96,51.0
2023-07-26 23:00:00,26.0,26.09,25.75,26.06,64.0
2023-07-27 23:00:00,26.01,26.3,25.72,25.83,158.0
2023-07-28 23:00:00,25.91,25.91,25.52,25.83,60.0
2023-07-31 23:00:00,25.86,26.24,25.76,26.21,112.0
2023-08-01 23:00:00,26.24,26.24,25.89,25.89,84.0
2023-08-02 23:00:00,25.85,26.05,25.5,25.5,83.0
2023-08-03 23:00:00,25.56,25.61,24.9,25.43,202.0
2023-08-04 23:00:00,25.44,25.98,25.18,25.5,191.0
2023-08-07 23:00:00,25.37,25.45,25.0,25.0,68.0
2023-08-08 23:00:00,24.98,25.08,24.7,24.85,139.0
2023-08-09 23:00:00,24.73,25.19,24.6,24.62,88.0
2023-08-10 23:00:00,24.74,24.81,24.52,24.59,191.0
2023-08-11 23:00:00,24.57,24.8,24.5,24.75,197.0
2023-08-14 23:00:00,24.62,24.7,24.21,24.37,274.0
2023-08-15 23:00:00,24.35,24.47,24.02,24.46,133.0
2023-08-16 23:00:00,24.48,24.79,24.47,24.6,70.0
2023-08-17 23:00:00,24.63,24.95,24.36,24.53,159.0
2023-08-18 23:00:00,24.64,24.73,24.45,24.48,133.0
2023-08-21 23:00:00,24.45,24.77,24.39,24.72,223.0
2023-08-22 23:00:00,24.75,25.03,24.64,24.89,406.0
2023-08-23 23:00:00,24.89,25.48,24.81,25.36,214.0
2023-08-24 23:00:00,25.4,25.48,25.19,25.35,153.0
2023-08-25 23:00:00,25.35,25.41,25.11,25.39,127.0
2023-08-28 23:00:00,25.25,25.49,25.24,25.49,79.0
2023-08-29 23:00:00,25.63,25.74,25.04,25.67,114.0
2023-08-30 23:00:00,25.66,25.93,25.55,25.76,315.0
2023-08-31 23:00:00,25.81,25.95,25.36,25.53,160.0
2023-09-01 23:00:00,25.58,25.77,25.33,25.4,105.0
2023-09-04 23:00:00,25.33,25.37,25.11,25.19,140.0
2023-09-05 23:00:00,25.15,25.22,24.84,25.01,211.0
2023-09-06 23:00:00,25.17,25.17,24.58,24.58,158.0
2023-09-07 23:00:00,24.6,24.76,24.28,24.33,284.0
2023-09-08 23:00:00,24.44,24.61,24.31,24.46,121.0
2023-09-11 23:00:00,24.42,24.7,24.4,24.5,103.0
2023-09-12 23:00:00,24.56,24.6,24.11,24.55,240.0
2023-09-13 23:00:00,24.46,24.49,24.29,24.44,19.0
2023-09-14 23:00:00,24.39,24.4,24.05,24.19,315.0
2023-09-15 23:00:00,24.2,24.9,24.1,24.82,326.0
2023-09-18 23:00:00,24.68,24.93,24.55,24.84,290.0
2023-09-19 23:00:00,24.85,25.07,24.73,24.81,596.0
2023-09-20 23:00:00,24.76,24.95,24.62,24.85,481.0
2023-09-21 23:00:00,24.91,24.96,24.29,24.6,1955.0
2023-09-22 23:00:00,24.55,24.99,24.53,24.75,610.0
2023-09-25 23:00:00,24.72,24.78,24.28,24.38,759.0
2023-09-26 23:00:00,24.4,24.41,24.09,24.15,678.0
2023-09-27 23:00:00,24.11,24.19,23.71,23.95,1017.0
2023-09-28 23:00:00,23.9,24.09,23.79,23.94,863.0
2023-09-29 23:00:00,23.87,24.59,23.6,23.62,1074.0
2023-10-02 23:00:00,23.6,23.7,22.82,22.87,3512.0
2023-10-03 23:00:00,22.88,22.89,22.41,22.6,2402.0
2023-10-04 23:00:00,22.65,22.76,22.14,22.36,1529.0
2023-10-05 23:00:00,22.37,22.66,22.13,22.13,2355.0
2023-10-06 23:00:00,22.17,22.76,21.99,22.71,5449.0
2023-10-09 23:00:00,22.66,23.05,22.63,22.94,1074.0
2023-10-10 23:00:00,22.92,23.04,22.78,22.98,662.0
2023-10-11 23:00:00,23.0,23.23,22.9,23.15,971.0
2023-10-12 23:00:00,23.16,23.29,22.88,22.95,1295.0
2023-10-13 23:00:00,22.94,23.55,22.86,23.51,6051.0
2023-10-16 23:00:00,23.54,23.59,23.41,23.48,1083.0
2023-10-17 23:00:00,23.45,23.9,23.35,23.78,3769.0
2023-10-18 23:00:00,23.8,24.22,23.72,23.83,5551.0
2023-10-19 23:00:00,23.86,23.98,23.52,23.77,4582.0
2023-10-20 23:00:00,23.73,24.47,23.63,24.38,4391.0
2023-10-23 23:00:00,24.38,24.38,23.93,24.1,1933.0
2023-10-24 23:00:00,24.1,24.16,23.74,23.87,3186.0
2023-10-25 23:00:00,23.88,24.0,23.63,23.83,3152.0
2023-10-26 23:00:00,23.82,24.12,23.56,23.82,3805.0
2023-10-27 23:00:00,23.84,24.0,23.79,23.81,1576.0
2023-10-30 23:00:00,23.81,24.41,23.79,24.18,6270.0
2023-10-31 23:00:00,24.23,24.32,23.98,24.1,2712.0
2023-11-01 23:00:00,24.05,24.06,23.61,23.72,2663.0
2023-11-02 23:00:00,23.74,24.13,23.59,23.85,2612.0
2023-11-03 23:00:00,23.78,24.2,23.69,24.05,4107.0
2023-11-06 23:00:00,24.06,24.22,23.98,24.09,2479.0
2023-11-07 23:00:00,24.13,24.18,23.46,23.58,4845.0
2023-11-08 23:00:00,23.63,23.85,23.38,23.6,4111.0
2023-11-09 23:00:00,23.68,24.05,23.48,24.01,8960.0
2023-11-10 23:00:00,23.98,24.05,23.59,23.75,7221.0
2023-11-13 23:00:00,23.8,23.81,23.12,23.21,5312.0
2023-11-14 23:00:00,23.3,24.07,23.26,24.01,7687.0
2023-11-15 23:00:00,24.01,24.44,23.96,24.23,5899.0
2023-11-16 23:00:00,24.25,24.64,24.15,24.55,4491.0
2023-11-17 23:00:00,24.58,24.68,24.33,24.38,3899.0
2023-11-20 23:00:00,24.38,24.46,24.05,24.26,3494.0
2023-11-21 23:00:00,24.27,24.82,24.22,24.73,4703.0
2023-11-22 23:00:00,24.75,24.81,24.38,24.46,2903.0
2023-11-23 23:00:00,24.45,24.67,24.41,24.59,2735.0
2023-11-24 23:00:00,24.56,25.0,24.49,24.9,3913.0
2023-11-27 23:00:00,24.9,25.7,24.88,25.34,7574.0
2023-11-28 23:00:00,25.34,25.62,25.29,25.59,3972.0
2023-11-29 23:00:00,25.61,25.76,25.45,25.61,11425.0
2023-11-30 23:00:00,25.58,25.63,25.46,25.6,5422.0
2023-12-01 23:00:00,25.57,25.7,25.47,25.64,9757.0
2023-12-04 23:00:00,25.58,25.94,25.04,25.16,15037.0
2023-12-05 23:00:00,25.15,25.22,24.62,24.7,17838.0
2023-12-06 23:00:00,24.7,24.95,24.61,24.84,7985.0
2023-12-07 23:00:00,24.78,24.79,24.46,24.54,8256.0
2023-12-08 23:00:00,24.55,24.6,24.01,24.1,14546.0
2023-12-11 23:00:00,24.1,24.12,23.33,23.43,24710.0
2023-12-12 23:00:00,23.43,23.93,23.4,23.68,18448.0
2023-12-13 23:00:00,23.64,23.7,23.41,23.52,15347.0
2023-12-14 23:00:00,23.53,24.91,23.39,24.87,55565.0
2023-12-15 23:00:00,24.84,25.02,24.57,24.7,30340.0
2023-12-18 23:00:00,24.7,24.79,24.46,24.56,41138.0
2023-12-19 23:00:00,24.54,24.97,24.42,24.79,49809.0
2023-12-20 23:00:00,24.8,24.97,24.68,24.8,83379.0
2023-12-21 23:00:00,24.82,25.22,24.62,25.04,155937.0
2023-12-22 23:00:00,25.05,25.2,24.94,25.05,80273.0
2023-12-25 23:00:00,25.04,25.07,24.7,24.9,61646.0
2023-12-26 23:00:00,24.9,24.99,24.67,24.76,49300.0
2023-12-27 23:00:00,24.76,25.07,24.63,25.0,92807.0
2023-12-28 23:00:00,24.99,25.08,24.77,24.92,98935.0
2023-12-29 23:00:00,24.89,24.89,24.3,24.61,137852.0
2024-01-03 23:00:00,24.61,24.7,23.66,23.68,173033.0
2024-01-04 23:00:00,23.69,23.86,23.46,23.75,124658.0
2024-01-05 23:00:00,23.76,24.23,23.57,24.09,139853.0
2024-01-08 23:00:00,24.07,24.11,23.53,23.83,160165.0
2024-01-09 23:00:00,23.83,24.05,23.72,23.73,88708.0
2024-01-10 23:00:00,23.72,23.78,23.47,23.6,134630.0
2024-01-11 23:00:00,23.59,23.78,23.25,23.44,227762.0
2024-01-12 23:00:00,23.41,24.05,23.1,23.85,254294.0
2024-01-15 23:00:00,23.84,23.91,23.65,23.75,76827.0
2024-01-16 23:00:00,23.76,23.82,23.53,23.63,87809.0
2024-01-17 23:00:00,23.61,23.66,23.04,23.15,175025.0
2024-01-18 23:00:00,23.16,23.29,22.87,23.12,215778.0
2024-01-19 23:00:00,23.1,23.29,22.96,22.97,121570.0
2024-01-22 23:00:00,23.0,23.07,22.55,22.76,202978.0
2024-01-23 23:00:00,22.75,22.96,22.61,22.86,109880.0
2024-01-24 23:00:00,22.86,23.35,22.77,23.13,175151.0
2024-01-25 23:00:00,23.13,23.42,23.08,23.26,126670.0
2024-01-26 23:00:00,23.26,23.38,23.05,23.17,116995.0
2024-01-29 23:00:00,23.17,23.47,23.06,23.33,124272.0
2024-01-30 23:00:00,23.34,23.6,23.28,23.37,153636.0
2024-01-31 23:00:00,23.36,23.67,23.34,23.61,105928.0
2024-02-01 23:00:00,23.6,23.67,23.1,23.35,303996.0
2024-02-02 23:00:00,23.37,23.59,23.03,23.16,211413.0
2024-02-05 23:00:00,23.15,23.26,22.83,22.87,146037.0
2024-02-06 23:00:00,22.88,22.99,22.8,22.97,91793.0
2024-02-07 23:00:00,22.97,23.0,22.75,22.92,119418.0
2024-02-08 23:00:00,22.91,23.06,22.69,22.89,133204.0
2024-02-09 23:00:00,22.9,23.13,22.82,22.86,120417.0
2024-02-12 23:00:00,22.86,23.4,22.82,23.06,181066.0
2024-02-13 23:00:00,23.06,23.3,22.52,22.57,254129.0
2024-02-14 23:00:00,22.58,22.7,22.35,22.56,195273.0
2024-02-15 23:00:00,22.59,23.23,22.58,23.08,245546.0
2024-02-16 23:00:00,23.06,23.49,22.98,23.46,200241.0
2024-02-19 23:00:00,23.45,23.75,23.25,23.29,168062.0
2024-02-20 23:00:00,23.29,23.49,23.25,23.35,64241.0
2024-02-21 23:00:00,23.35,23.45,23.22,23.23,57660.0
2024-02-22 23:00:00,23.22,23.47,23.08,23.13,113066.0
2024-02-26 23:00:00,23.11,23.21,22.86,22.87,136605.0
2024-02-27 23:00:00,22.87,23.02,22.76,22.83,134830.0
2024-02-28 23:00:00,22.82,22.87,22.59,22.74,169848.0
2024-02-29 23:00:00,22.74,23.05,22.69,22.95,141768.0
2024-03-01 23:00:00,22.92,23.19,22.82,23.15,118123.0
2024-03-04 23:00:00,23.15,23.69,23.09,23.68,247842.0
2024-03-05 23:00:00,23.69,24.31,23.69,23.97,413200.0
2024-03-06 23:00:00,23.95,24.17,23.76,24.07,181227.0
2024-03-07 23:00:00,24.09,24.51,24.02,24.48,248551.0
2024-03-11 23:00:00,24.46,24.51,24.3,24.49,96595.0
2024-03-12 23:00:00,24.48,24.54,23.95,24.15,260162.0
2024-03-13 23:00:00,24.15,24.78,23.97,24.77,224197.0
2024-03-14 23:00:00,24.78,25.11,24.61,24.79,216818.0
